sentiment,text
positive,"pan nalin's exposition is beautiful and mysterious , and the interviews that follow , with the practitioners of this ancient indian practice , are as subtle and as enigmatic ."
positive,"in other words , it's just another sports drama/character study . yet this one makes up for in heart what it lacks in outright newness . plus , like i already mentioned . . . it's robert duvall ! c'mon !"
negative,"a film of empty , fetishistic violence in which murder is casual and fun ."
negative,never capitalizes on this concept and opts for the breezy and amateurish feel of an after school special on the subject of tolerance .
positive,"an entertaining , if ultimately minor , thriller ."
positive,an amused indictment of jaglom's own profession .
positive,"how i killed my father would be a rarity in hollywood . it's an actor's showcase that accomplishes its primary goal without the use of special effects , but rather by emphasizing the characters -- including the supporting ones ."
positive,"( a ) hollywood sheen bedevils the film from the very beginning . . . ( but ) lohman's moist , deeply emotional eyes shine through this bogus veneer . . ."
positive,"the film is . . . determined to treat its characters , weak and strong , as fallible human beings , not caricatures , and to carefully delineate the cost of the inevitable conflicts between human urges and an institution concerned with self-preservation ."
positive,cut through the layers of soap-opera emotion and you find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most .
negative,this director's cut -- which adds 51 minutes -- takes a great film and turns it into a mundane soap opera .
negative,"what's the most positive thing that can be said about the new rob schneider vehicle ? well , it's not as pathetic as the animal ."
negative,"both shrill and soporific , and because everything is repeated five or six times , it can seem tiresomely simpleminded ."
negative,"the plot grows thin soon , and you find yourself praying for a quick resolution ."
positive,"like any good romance , son of the bride , proves it's never too late to learn ."
positive,"walter hill's undisputed is like a 1940s warner bros . b picture , and i mean that as a compliment ."
negative,it's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .
positive,"chris columbus' sequel is faster , livelier and a good deal funnier than his original ."
negative,the problem with all of this : it's not really funny .
positive,"this orange has some juice , but it's far from fresh-squeezed ."
negative,"director kevin bray excels in breaking glass and marking off the "" miami vice "" checklist of power boats , latin music and dog tracks . he doesn't , however , deliver nearly enough of the show's trademark style and flash ."
negative,"will give many ministers and bible-study groups hours of material to discuss . but mainstream audiences will find little of interest in this film , which is often preachy and poorly acted ."
positive,"a terrific b movie -- in fact , the best in recent memory ."
positive,a triumph of pure craft and passionate heart .
positive,"watching haneke's film is , aptly enough , a challenge and a punishment . but watching huppert , a great actress tearing into a landmark role , is riveting ."
negative,"like life on the island , the movie grows boring despite the scenery ."
negative,"its simplicity puts an exclamation point on the fact that this isn't something to be taken seriously , but it also wrecks any chance of the movie rising above similar fare ."
positive,i just loved every minute of this film .
positive,so vivid a portrait of a woman consumed by lust and love and crushed by betrayal that it conjures up the intoxicating fumes and emotional ghosts of a freshly painted rembrandt .
negative,a slow-moving police-procedural thriller that takes its title all too literally .
positive,like the chilled breath of oral storytelling frozen onto film .
positive,"fast-paced and wonderfully edited , the film is extremely thorough ."
negative,"johnson has , in his first film , set himself a task he is not nearly up to ."
negative,too lazy to take advantage of its semi-humorous premise .
negative,"works hard to establish rounded characters , but then has nothing fresh or particularly interesting to say about them ."
positive,"it does give a taste of the burning man ethos , an appealing blend of counter-cultural idealism and hedonistic creativity ."
negative,"jaw-droppingly superficial , straining to get by on humor that is not even as daring as john ritter's glory days on three's company ."
negative,"[the kid's] just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow ."
positive,"not too fancy , not too filling , not too fluffy , but definitely tasty and sweet ."
positive,"hu and liu offer natural , matter-of-fact performances that glint with sorrow , longing and love ."
negative,"it's as sorry a mess as its director's diabolical debut , mad cows ."
positive,writer and director otar iosseliani's pleasant tale about a factory worker who escapes for a holiday in venice reveals how we all need a playful respite from the grind to refresh our souls .
positive,noyce films it more as a shocking history lesson than as drama .
positive,this examination of aquatic life off the shores of the baja california peninsula of mexico offers an engrossing way to demonstrate the virtues of the imax format .
positive,there's nothing more satisfying during a summer of event movies than a spy thriller like the bourne identity that's packed with just as much intelligence as action .
positive,[a] real pleasure in its laid-back way .
positive,"satisfyingly scarifying , fresh and old-fashioned at the same time ."
negative,"a weird little movie that's amusing enough while you watch it , offering fine acting moments and pungent insights into modern l . a . 's show-biz and media subcultures . but it doesn't leave you with much ."
negative,ice age posits a heretofore unfathomable question : is it possible for computer-generated characters to go through the motions ?
positive,"expect no major discoveries , nor any stylish sizzle , but the film sits with square conviction and touching good sense on the experience of its women ."
negative,this is a film tailor-made for those who when they were in high school would choose the cliff-notes over reading a full-length classic .
negative,at once overly old-fashioned in its sudsy plotting and heavy-handed in its effort to modernize it with encomia to diversity and tolerance .
positive,a heroic tale of persistence that is sure to win viewers' hearts .
positive,"even if the naipaul original remains the real masterpiece , the movie possesses its own languorous charm ."
negative,a big meal of cliches that the talented cast generally chokes on .
positive,"often gruelling and heartbreaking to witness , but seldahl and wollter's sterling performances raise this far above the level of the usual maudlin disease movie ."
positive,melodrama with a message .
positive,"a study in shades of gray , offering itself up in subtle plot maneuvers . . ."
negative,tries to work in the same vein as the brilliance of animal house but instead comes closer to the failure of the third revenge of the nerds sequel .
positive,"on the granger movie gauge of 1 to 10 , the powerpuff girls is a fast , frenetic , funny , even punny 6 -- aimed specifically at a grade-school audience ."
positive,it is definitely worth seeing .
negative,puts on airs of a hal hartley wannabe film -- without the vital comic ingredient of the hilarious writer-director himself .
positive,"methodical , measured , and gently tedious in its comedy , secret ballot is a purposefully reductive movie -- which may be why it's so successful at lodging itself in the brain ."
negative,""" bad "" is the operative word for "" bad company , "" and i don't mean that in a good way ."
positive,"an endlessly fascinating , landmark movie that is as bold as anything the cinema has seen in years ."
negative,"appropriately cynical social commentary aside , #9 never quite ignites ."
negative,showtime's starry cast could be both an asset and a detriment . those who trek to the 'plex predisposed to like it probably will enjoy themselves . but ticket-buyers with great expectations will wind up as glum as mr . de niro .
positive,"despite its faults , gangs excels in spectacle and pacing ."
negative,the fourth in a series that i'll bet most parents had thought --hoped ! -- was a fad that had long since vanished .
negative,"the plot is very clever , but boyd weighs it down with too many characters and events , all intertwined and far too complicated to keep track of ."
positive,warm and exotic .
negative,"the leads are so unmemorable , despite several attempts at lengthy dialogue scenes , that one eventually resents having to inhale this gutter romancer's secondhand material ."
negative,"it's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface ."
negative,"even a hardened voyeur would require the patience of job to get through this interminable , shapeless documentary about the swinging subculture ."
positive,"beautifully shot against the frozen winter landscapes of grenoble and geneva , the film unfolds with all the mounting tension of an expert thriller , until the tragedy beneath it all gradually reveals itself ."
positive,"below may not mark mr . twohy's emergence into the mainstream , but his promise remains undiminished ."
positive,"a charming , banter-filled comedy . . . one of those airy cinematic bon bons whose aims -- and by extension , accomplishments -- seem deceptively slight on the surface ."
positive,i love the way that it took chances and really asks you to take these great leaps of faith and pays off .
positive,"the film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the story is told from paul's perspective ."
negative,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem ."
negative,"it throws quirky characters , odd situations , and off-kilter dialogue at us , all as if to say , "" look at this ! this is an interesting movie ! "" but the film itself is ultimately quite unengaging ."
negative,". . . too slow , too boring , and occasionally annoying ."
negative,rashomon-for-dipsticks tale .
negative,this is the kind of movie that gets a quick release before real contenders arrive in september .
negative,too simple for its own good .
positive,"harsh , effective documentary on life in the israeli-occupied palestinian territories ."
positive,"flawed , but worth seeing for ambrose's performance ."
negative,the movie fails to portray its literarily talented and notorious subject as anything much more than a dirty old man .
positive,"if [jaglom's] latest effort is not the director at his most sparkling , some of its repartee is still worth hearing ."
negative,i loved looking at this movie . i just didn't care as much for the story .
negative,animated drivel meant to enhance the self-image of drooling idiots .
negative,". . . post-september 11 , "" the sum of all fears "" seems more tacky and reprehensible , manipulating our collective fear without bestowing the subject with the intelligence or sincerity it unequivocally deserves ."
positive,an original and highly cerebral examination of the psychopathic mind
negative,"it has more in common with a fireworks display than a movie , which normally is expected to have characters and a storyline ."
negative,"for all the writhing and wailing , tears , rage and opium overdoses , there's no sense of actual passion being washed away in love's dissolution ."
negative,there's nothing remotely topical or sexy here .
negative,"before long , the film starts playing like general hospital crossed with a saturday night live spoof of dog day afternoon ."
positive,weird . rewarding .
negative,"for a movie about the power of poetry and passion , there is precious little of either ."
negative,"the reason i found myself finally unmoved by this film , which is immaculately produced and has serious things to say , is that it comes across rather too plainly as allegory ."
negative,"director carl franklin , so crisp and economical in one false move , bogs down in genre cliches here ."
positive,"great performances , stylish cinematography and a gritty feel help make gangster no . 1 a worthwhile moviegoing experience ."
positive,[has] an immediacy and an intimacy that sucks you in and dares you not to believe it's all true .
negative,the entire movie is in need of a scented bath .
positive,"the movie's captivating details are all in the performances , from foreman's barking-mad taylor to thewlis's smoothly sinister freddie and bettany/mcdowell's hard-eyed gangster ."
positive,may be the most undeserving victim of critical overkill since town and country .
negative,one long string of cliches .
positive,an unorthodox little film noir organized crime story that includes one of the strangest love stories you will ever see .
negative,"partway through watching this saccharine , easter-egg-colored concoction , you realize that it is made up of three episodes of a rejected tv show ."
negative,"[it's] a prison soccer movie starring charismatic tough guy vinnie jones , but it had too much spitting for me to enjoy ."
positive,"legendary irish writer brendan behan's memoir , borstal boy , has been given a loving screen transferral ."
positive,. . . the implication is kissinger may have decided that  when it comes to truncheoning  it's better to give than to receive .
positive,only two words will tell you what you know when deciding to see it : anthony . hopkins .
negative,holden caulfield did it better .
positive,"if you're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you're at the right film ."
positive,"there are times when a rumor of angels plays like an extended episode of touched by an angel -- a little too much dancing , a few too many weeping scenes -- but i liked its heart and its spirit ."
positive,"a first-class road movie that proves you can run away from home , but your ego and all your problems go with you ."
positive,"famuyiwa's feature deals with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the clich-riddled genre can offer ."
positive,"a confident , richly acted , emotionally devastating piece of work and 2002's first great film"
negative,coughs and sputters on its own postmodern conceit .
negative,it's a movie forged in the fires of chick flick hell .
positive,"finally , the french-produced "" read my lips "" is a movie that understands characters must come first ."
negative,"it's not nearly as fresh or enjoyable as its predecessor , but there are enough high points to keep this from being a complete waste of time ."
negative,some decent actors inflict big damage upon their reputations .
negative,"despite apparent motives to the contrary , it ends up being , like [seinfeld's] revered tv show , about pretty much nothing ."
negative,i don't even care that there's no plot in this antonio banderas-lucy liu faceoff . it's still terrible !
positive,"cantet beautifully illuminates what it means sometimes to be inside looking out , and at other times outside looking in ."
positive,vincent gallo is right at home in this french shocker playing his usual bad boy weirdo role .
positive,"rarely do films come along that are as intelligent , exuberant , and moving as monsoon wedding ."
negative,"the characters seem one-dimensional , and the film is superficial and will probably be of interest primarily to its target audience ."
negative,well-shot but badly written tale set in a future ravaged by dragons .
negative,"it is depressing , ruthlessly pained and depraved , the movie equivalent of staring into an open wound ."
positive,. . . an enjoyably frothy 'date movie' . . .
positive,"it's a fine , old-fashioned-movie movie , which is to say it's unburdened by pretensions to great artistic significance ."
negative,the disjointed mess flows as naturally as jolie's hideous yellow 'do .
positive,connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not withered during his enforced hiatus .
negative,"starts promisingly but disintegrates into a dreary , humorless soap opera ."
negative,"despite a powerful portrayal by binoche , it's a period romance that suffers from an overly deliberate pace and uneven narrative momentum ."
positive,". . . bright , intelligent , and humanly funny film ."
negative,sometimes seems less like storytelling than something the otherwise compelling director needed to get off his chest .
negative,competently directed but terminally cute drama .
positive,"this is a stunning film , a one-of-a-kind tour de force ."
positive,"it's no surprise that as a director washington demands and receives excellent performances , from himself and from newcomer derek luke ."
negative,"despite some comic sparks , welcome to collinwood never catches fire ."
negative,tedious norwegian offering which somehow snagged an oscar nomination .
negative,the script is a dim-witted pairing of teen-speak and animal gibberish .
negative,`matrix'-style massacres erupt throughout . . . but the movie has a tougher time balancing its violence with kafka-inspired philosophy .
negative,". . . familiar and predictable , and 4/5ths of it might as well have come from a xerox machine rather than ( writer-director ) franc . reyes' word processor ."
negative,"this is a particularly toxic little bonbon , palatable to only a chosen and very jaundiced few ."
negative,the entire movie is so formulaic and forgettable that it's hardly over before it begins to fade from memory .
negative,"the histrionic muse still eludes madonna and , playing a charmless witch , she is merely a charmless witch ."
negative,"it's difficult to feel anything much while watching this movie , beyond mild disturbance or detached pleasure at the acting ."
positive,"this is a very funny , heartwarming film . it has fun with the quirks of family life , but it also treats the subject with fondness and respect ."
positive,"a blessed gift to film geeks and historians . if the '70's were your idea of a good time at the movies , this will make you very happy ."
negative,the kind of film that leaves you scratching your head in amazement over the fact that so many talented people could participate in such an ill-advised and poorly executed idea .
positive,"even though it's common knowledge that park and his founding partner , yong kang , lost kozmo in the end , you can't help but get caught up in the thrill of the company's astonishing growth ."
negative,"the more kevin costner rests on his pretty-boy laurels , the public is , regrettably , going to have tepid films like dragonfly tossed at them ."
negative,"bray is completely at sea ; with nothing but a savage garden music video on his resume , he has no clue about making a movie ."
negative,. . . what a banal bore the preachy circuit turns out to be
negative,"the reason we keep seeing the same movie with roughly the same people every year is because so many of us keep going and then , out of embarrassment or stupidity , not warning anyone ."
negative,"wobbly senegalese updating of "" carmen "" which is best for the stunning star turn by djeinaba diop gai"
positive,"despite an overwrought ending , the film works as well as it does because of the performances ."
negative,a tv style murder mystery with a few big screen moments ( including one that seems to be made for a different film altogether ) .
negative,"the film would work much better as a video installation in a museum , where viewers would be free to leave . immediately ."
positive,"on the surface , it's a lovers-on-the-run crime flick , but it has a lot in common with piesiewicz's and kieslowski's earlier work , films like the double life of veronique ."
negative,"interesting , but not compelling ."
positive,"the ending does leave you unfulfilled , but these are performances to enjoy in a memorable ensemble piece ."
positive,"uplifting , funny and wise ."
positive,"in a movie full of surprises , the biggest is that secret ballot is a comedy , both gentle and biting ."
positive,"a photographic marvel of sorts , and it's certainly an invaluable record of that special fishy community ."
negative,"the movie certainly has its share of clever moments and biting dialogue , but there's just not much lurking below its abstract surface ."
positive,peppered with witty dialogue and inventive moments .
negative,"it is bad , but certainly not without merit as entertainment ."
negative,"' . . . the cast portrays their cartoon counterparts well . . . but quite frankly , scoob and shag don't eat enough during the film . '"
positive,"both heartbreaking and heartwarming . . . just a simple fable done in an artless sytle , but it's tremendously moving ."
negative,there aren't many laughs in this interesting study of the cultural mores of georgian jews in tel aviv .
positive,"how good this film might be , depends if you believe that the shocking conclusion is too much of a plunge or not ."
positive,the banter between calvin and his fellow barbers feels like a streetwise mclaughlin group . . . and never fails to entertain .
negative,"the abiding impression , despite the mild hallucinogenic buzz , is of overwhelming waste -- the acres of haute couture can't quite conceal that there's nothing resembling a spine here ."
positive,"not as good as the full monty , but a really strong second effort ."
positive,"jagger , stoppard and director michael apted . . . deliver a riveting and surprisingly romantic ride ."
positive,a dazzling thing to behold -- as long as you're wearing the somewhat cumbersome 3d goggles the theater provides .
positive,nothing short of a masterpiece -- and a challenging one .
negative,one of those films that started with a great premise and then just fell apart .
negative,"an ill-conceived jumble that's not scary , not smart and not engaging ."
positive,"gives us a lot to chew on , but not all of it has been properly digested ."
negative,"stale first act , scrooge story , blatant product placement , some very good comedic songs , strong finish , dumb fart jokes ."
negative,"if routine action and jokes like this are your cup of tea , then pay your $8 and get ready for the big shear . this is one baaaaaaaaad movie ."
negative,"unless you are in dire need of a diesel fix , there is no real reason to see it . wait for video -- and then don't rent it ."
positive,"davis is funny , charming and quirky in her feature film acting debut as amy ."
negative,"despite a performance of sustained intelligence from stanford and another of subtle humour from bebe neuwirth , as an older woman who seduces oscar , the film founders on its lack of empathy for the social milieu - rich new york intelligentsia - and its off"
negative,"a guilty pleasure at best , and not worth seeing unless you want to laugh at it ."
negative,no way i can believe this load of junk .
positive,"likeable thanks to its cast , its cuisine and its quirky tunes ."
positive,"we root for [clara and paul] , even like them , though perhaps it's an emotion closer to pity ."
negative,i was perplexed to watch it unfold with an astonishing lack of passion or uniqueness .
positive,"baran isn't the most transporting or gripping film from iran -- or , indeed , by its director -- but it's a worthy companion to the many fine , focused films emerging from that most surprising of nations ."
negative,"the picture , scored by a perversely cheerful marcus miller accordion/harmonica/banjo abomination , is a monument to bad in all its florid variety ."
positive,girls gone wild and gone civil again
negative,"sheridan seems terrified of the book's irreverent energy , and scotches most of its lan , humor , bile , and irony ."
negative,the cartoon is about as true to the spirit of the festival of lights as mr . deeds was to that of frank capra .
positive,remove spider-man the movie from its red herring surroundings and it's apparent that this is one summer film that satisfies .
negative,"less dizzying than just dizzy , the jaunt is practically over before it begins ."
positive,"bittersweet comedy/drama full of life , hand gestures , and some really adorable italian guys ."
negative,"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide ."
negative,what more can be expected from a college comedy that's target audience hasn't graduated from junior high school ?
negative,this strenuously unfunny showtime deserves the hook .
positive,escapism in its purest form .
negative,"despite its good nature and some genuinely funny moments , super troopers suffers from a bad case of arrested development ."
positive,but this is lohman's film . her performance moves between heartbreak and rebellion as she continually tries to accommodate to fit in and gain the unconditional love she seeks .
negative,everything is pegged into the groove of a new york dating comedy with 'issues' to simplify .
negative,the title trapped turns out to be a pretty fair description of how you feel while you're watching this ultra-manipulative thriller .
negative,"there may have been a good film in "" trouble every day , "" but it is not what is on the screen ."
negative,"the dialogue is cumbersome , the simpering soundtrack and editing more so ."
negative,"with rare birds , as with the shipping news before it , an attempt is made to transplant a hollywood star into newfoundland's wild soil -- and the rock once again resists the intrusion ."
positive,"an incredibly low-rent danish film , it brings a group of people together in a sweet and charming way , if a little convenient"
positive,if you enjoy more thoughtful comedies with interesting conflicted characters ; this one is for you .
positive,"the wonder of mostly martha is the performance of gedeck , who makes martha enormously endearing ."
positive,"provides a porthole into that noble , trembling incoherence that defines us all ."
positive,"you've already seen city by the sea under a variety of titles , but it's worth yet another visit ."
negative,this loud and thoroughly obnoxious comedy about a pair of squabbling working-class spouses is a deeply unpleasant experience .
positive,"a dreadful day in irish history is given passionate , if somewhat flawed , treatment ."
positive,"despite these annoyances , the capable clayburgh and tambor really do a great job of anchoring the characters in the emotional realities of middle age ."
negative,. . . salaciously simplistic .
positive,"the messy emotions raging throughout this three-hour effort are instantly recognizable , allowing the film to paradoxically feel familiar and foreign at the same time ."
positive,"the filmmakers wisely decided to let crocodile hunter steve irwin do what he does best , and fashion a story around him ."
negative,"most of the information has already appeared in one forum or another and , no matter how broomfield dresses it up , it tends to speculation , conspiracy theories or , at best , circumstantial evidence ."
positive,"it's an unusual , thoughtful bio-drama with a rich subject and some fantastic moments and scenes ."
negative,"crudup's screen presence is the one thing that holds interest in the midst of a mushy , existential exploration of why men leave their families ."
positive,"if the material is slight and admittedly manipulative , jacquot preserves tosca's intoxicating ardor through his use of the camera ."
positive,"a lean , deftly shot , well-acted , weirdly retro thriller that recalls a raft of '60s and '70s european-set spy pictures ."
positive,"the concert footage is stirring , the recording sessions are intriguing , and -- on the way to striking a blow for artistic integrity -- this quality band may pick up new admirers ."
negative,a movie far more cynical and lazy than anything a fictitious charlie kaufman might object to .
negative,"no , it's not nearly as good as any of its influences ."
negative,the story and characters are nowhere near gripping enough .
negative,the master of disguise falls under the category of 'should have been a sketch on saturday night live . '
positive,"sensual , funny and , in the end , very touching ."
positive,"elegantly produced and expressively performed , the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy ."
negative,"it doesn't help that the director and cinematographer stephen kazmierski shoot on grungy video , giving the whole thing a dirty , tasteless feel ."
positive,"secret ballot is a funny , puzzling movie ambiguous enough to be engaging and oddly moving ."
negative,the script has less spice than a rat burger and the rock's fighting skills are more in line with steven seagal .
negative,i firmly believe that a good video game movie is going to show up soon . i also believe that resident evil is not it .
positive,"if signs is a good film , and it is , the essence of a great one is in there somewhere ."
negative,"sex ironically has little to do with the story , which becomes something about how lame it is to try and evade your responsibilities and that you should never , ever , leave a large dog alone with a toddler . but never mind all that ; the boobs are fantasti"
positive,"if there's no art here , it's still a good yarn -- which is nothing to sneeze at these days ."
negative,"'the war of the roses , ' trailer-trash style . entertaining but like shooting fish in a barrel ."
positive,"brings together some of the biggest names in japanese anime , with impressive results ."
positive,"insomnia loses points when it surrenders to a formulaic bang-bang , shoot-em-up scene at the conclusion . but the performances of pacino , williams , and swank keep the viewer wide-awake all the way through ."
positive,"we admire this film for its harsh objectivity and refusal to seek our tears , our sympathies ."
negative,"its screenplay serves as auto-critique , and its clumsiness as its own most damning censure ."
positive,"a canny , derivative , wildly gruesome portrait of a london sociopath who's the scariest of sadists ."
positive,a gangster movie with the capacity to surprise .
negative,"ram dass fierce grace moulds itself as an example to up-and-coming documentarians , of the overlooked pitfalls of such an endeavour ."
negative,[at least] moore is a real charmer .
negative,eight legged freaks ? no big hairy deal .
negative,"with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge ."
negative,movies like high crimes flog the dead horse of surprise as if it were an obligation . how about surprising us by trying something new ?
negative,"the best you can say about it is it's so uninspired , it barely gives one pause when considering some of the other dreck out there right now ."
negative,"serviceable at best , slightly less than serviceable at worst ."
negative,"it's a hellish , numbing experience to watch , and it doesn't offer any insights that haven't been thoroughly debated in the media already , back in the dahmer heyday of the mid-'90s ."
positive,"novak manages to capture a cruelly hilarious vein of black comedy in the situation with his cast of non-actors and a gritty , no-budget approach ."
positive,"'almodvar logra un filme entraable , lleno de compasin , comprensin , amor , amistad , esperanza y humanidad que es sencillamente inolvidable . '"
negative,"for those for whom the name woody allen was once a guarantee of something fresh , sometimes funny , and usually genuinely worthwhile , hollywood ending is a depressing experience"
positive,"mastering its formidable arithmetic of cameras and souls , group articulates a flood of emotion ."
negative,the movie weighs no more than a glass of flat champagne .
negative,the film equivalent of a toy chest whose contents get scattered over the course of 80 minutes .
negative,"the movie doesn't think much of its characters , its protagonist , or of us ."
positive,"this is a smart movie that knows its classical music , knows its freud and knows its sade ."
positive,"it's a demented kitsch mess ( although the smeary digital video does match the muddled narrative ) , but it's savvy about celebrity and has more guts and energy than much of what will open this year ."
positive,"although it's a bit smug and repetitive , this documentary engages your brain in a way few current films do ."
positive,notorious c . h . o . has oodles of vulgar highlights .
positive,poignant japanese epic about adolescent anomie and heartbreak .
negative,. . . comes alive only when it switches gears to the sentimental .
negative,"most of the supporting characters in eastwood films are weak , as are most of the subplots . this one's weaker than most ."
negative,an exercise in cynicism every bit as ugly as the shabby digital photography and muddy sound .
positive,"where janice beard falters in its recycled aspects , implausibility , and sags in pace , it rises in its courageousness , and comedic employment ."
positive,"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving ."
positive,a movie with a real anarchic flair .
negative,"even if britney spears is really cute , her movie is really bad ."
positive,at its best early on as it plays the culture clashes between the brothers .
negative,represents the depths to which the girls-behaving-badly film has fallen .
negative,"did we really need a remake of "" charade ? """
negative,it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action .
positive,features one of the most affecting depictions of a love affair ever committed to film .
negative,"in the book-on-tape market , the film of "" the kid stays in the picture "" would be an abridged edition"
negative,aan opportunity wasted .
negative,too much of it feels unfocused and underdeveloped .
positive,"a touching , small-scale story of family responsibility and care in the community ."
positive,jagger the actor is someone you want to see again .
negative,an excruciating demonstration of the unsalvageability of a movie saddled with an amateurish screenplay .
positive,it grabs you in the dark and shakes you vigorously for its duration .
positive,must be seen to be believed .
negative,"a gorgeous , somnolent show that is splendidly mummified and thoroughly unsurprising ."
positive,"together , tok and o orchestrate a buoyant , darkly funny dance of death . in the process , they demonstrate that there's still a lot of life in hong kong cinema ."
positive,an engrossing and infectiously enthusiastic documentary .
positive,"despite the long running time , the pace never feels slack -- there's no scene that screams "" bathroom break ! """
negative,"i'm not sure which half of dragonfly is worse : the part where nothing's happening , or the part where something's happening , but it's stupid ."
positive,"at a time when half the so-called real movies are little more than live-action cartoons , it's refreshing to see a cartoon that knows what it is , and knows the form's history ."
positive,"rarely has skin looked as beautiful , desirable , even delectable , as it does in trouble every day ."
negative,"beneath the uncanny , inevitable and seemingly shrewd facade of movie-biz farce . . . lies a plot cobbled together from largely flat and uncreative moments ."
negative,". . . a plotline that's as lumpy as two-day old porridge . . . the filmmakers' paws , sad to say , were all over this "" un-bear-able "" project !"
positive,"because the genre is well established , what makes the movie fresh is smart writing , skewed characters , and the title performance by kieran culkin ."
negative,stirs potentially enticing ingredients into an uneasy blend of ghost and close encounters of the third kind .
positive,"holy mad maniac in a mask , splat-man ! good old-fashioned slash-and-hack is back !"
negative,"the screenplay comes across , rather unintentionally , as hip-hop scooby-doo ."
negative,"as if drop dead gorgeous wasn't enough , this equally derisive clunker is fixated on the spectacle of small-town competition ."
negative,the central story lacks punch .
negative,ja rule and kurupt should have gotten to rap . it would have benefitted the dialogue .
positive,"this is popcorn movie fun with equal doses of action , cheese , ham and cheek ( as well as a serious debt to the road warrior ) , but it feels like unrealized potential"
positive,vividly conveys the shadow side of the 30-year friendship between two english women .
positive,ms . hutchins is talented enough and charismatic enough to make us care about zelda's ultimate fate .
negative,there ain't a lot more painful than an unfunny movie that thinks it's hilarious .
positive,"qutting may be a flawed film , but it is nothing if not sincere ."
negative,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness .
negative,"watching "" ending "" is too often like looking over the outdated clothes and plastic knickknacks at your neighbor's garage sale . you can't believe anyone would really buy this stuff ."
negative,"the story is -- forgive me -- a little thin , and the filmmaking clumsy and rushed ."
positive,a soap-opera quality twist in the last 20 minutes . . . almost puts the kibosh on what is otherwise a sumptuous work of b-movie imagination .
negative,"though the opera itself takes place mostly indoors , jacquot seems unsure of how to evoke any sort of naturalism on the set ."
negative,"stupid , infantile , redundant , sloppy , over-the-top , and amateurish . yep , it's "" waking up in reno . "" go back to sleep ."
