text,sentiment,aspect
手 感 挺 好 ,2,手 感
机 身 小 巧 方 便 携 带 ,2,机 身
功 能 齐 全 ,2,功 能
菜 单 操 作 相 对 复 杂 ,2,菜 单 操 作
反 映 速 度 较 慢 ,0,反 映 速 度
电 池 比 较 不 耐 用 ,0,电 池
对 于 这 样 小 巧 且 重 量 很 轻 的 相 机 来 说 ,2,重 量
且 拍 的 图 像 鲜 艳 很 饱 和 ,2,图 像
格 式 的 录 像 效 果 我 感 觉 也 很 满 意 ,2,录 像 效 果
但 精 度 不 高 ,0,精 度
亮 度 偏 低 ,0,亮 度
录 音 的 效 果 也 一 般 ,0,录 音 的 效 果
噪 点 很 多 ,0,噪 点
的 成 像 固 然 不 错 ,2,成 像
还 有 近 拍 能 力 也 很 弱 ,0,近 拍 能 力
所 以 标 配 的 的 拍 照 持 续 时 间 一 般 ,0,拍 照 持 续 时 间
的 机 器 操 作 也 很 简 单 ,2,操 作
相 机 的 成 像 质 量 好 ,2,成 像 质 量
它 的 微 距 更 是 让 人 得 心 应 手 ,2,微 距
效 果 非 同 一 般 ,2,效 果
取 景 十 分 方 便 ,2,取 景
反 应 稍 显 慢 ,0,反 应
价 格 不 菲 ,0,价 格
速 度 很 快 ,2,速 度
白 平 衡 模 试 比 较 多 ,2,白 平 衡 模 试
还 原 性 还 是 不 错 ,2,还 原 性
反 应 速 度 也 不 错 ,2,反 应 速 度
液 晶 屏 也 很 俱 人 性 化 ,2,液 晶 屏
价 钱 便 宜 又 通 用 ,2,价 钱
机 身 材 质 脆 弱 ,0,机 身 材 质
外 观 显 得 大 ,2,外 观
这 是 一 部 价 格 优 惠 ,2,价 格
拍 照 效 果 还 算 可 以 ,2,拍 照 效 果
这 款 机 子 外 形 比 较 小 巧 ,2,外 形
拿 起 来 手 感 也 不 错 ,2,手 感
画 面 显 示 效 果 很 好 ,2,画 面 显 示 效 果
并 且 它 的 拍 摄 模 式 也 是 非 常 的 多 ,2,拍 摄 模 式
操 作 界 面 也 很 方 便 友 好 ,2,操 作 界 面
它 的 噪 点 控 制 的 不 错 ,2,噪 点 控 制
成 像 质 量 挺 好 的 ,2,成 像 质 量
画 面 柔 和 细 腻 ,2,画 面
夜 景 拍 摄 都 挺 好 ,2,夜 景 拍 摄
电 池 也 还 可 以 吧 ,2,电 池
而 且 长 焦 端 成 像 质 量 一 般 ,2,成 像 质 量
相 机 反 应 速 度 有 点 慢 ,0,反 应 速 度
菜 单 设 计 比 较 合 理 ,2,菜 单 设 计
色 彩 还 原 还 是 很 准 确 的 ,2,色 彩 还 原
颜 色 很 艳 丽 ,2,颜 色
总 体 色 调 偏 暖 ,2,色 调
色 温 较 低 ,2,色 温
画 面 偏 黄 ,0,画 面
广 角 照 片 非 常 清 晰 ,2,广 角 照 片
画 面 锐 度 好 ,2,画 面 锐 度
光 圈 不 是 很 大 ,0,光 圈
镜 头 畸 变 控 制 的 比 较 让 人 满 意 ,2,镜 头 畸 变
广 角 表 现 就 差 了 些 ,0,广 角
画 面 色 彩 有 些 淡 ,0,画 面 色 彩
层 次 感 也 差 了 些 ,0,层 次 感
画 面 颗 粒 感 较 重 ,0,画 面 颗 粒 感
高 下 噪 点 明 显 ,0,噪 点
这 样 的 速 度 应 该 是 相 当 快 的 了 ,2,速 度
金 属 卡 口 密 实 ,2,卡 口
高 感 光 度 实 用 ,2,感 光 度
使 对 焦 点 选 择 等 操 控 更 加 便 捷 ,2,操 控
条 件 下 相 机 的 自 动 白 平 衡 还 原 能 力 仍 然 欠 佳 ,0,自 动 白 平 衡 还 原 能 力
理 光 的 技 术 参 数 是 非 常 诱 人 的 ,2,技 术 参 数
速 度 够 快 ,2,速 度
性 价 比 较 高 ,2,性 价 比
配 置 厚 道 ,2,配 置
的 做 工 却 很 精 细 ,2,做 工
质 量 稳 定 性 堪 忧 ,2,质 量 稳 定 性
 寸 [ASP][ASP] 够 [ASP][ASP] 大 [ASP][ASP] ,2,
显 示 效 果 不 敢 恭 维 ,0,显 示 效 果
防 滑 性 能 非 常 好 ,2,防 滑 性 能
外 形 小 巧 ,2,外 形
镜 头 小 了 一 点 ,0,镜 头
光 线 有 点 暗 淡 ,0,光 线
设 计 更 具 流 线 型 ,2,设 计
但 手 感 依 然 保 持 良 好 ,2,手 感
屏 幕 实 际 显 示 效 果 较 佳 ,2,显 示 效 果
的 对 焦 速 度 还 算 可 以 ,2,对 焦 速 度
紫 边 较 少 ,2,紫 边
耐 用 度 有 限 ,0,耐 用 度
对 焦 速 度 快 ,2,对 焦 速 度
电 力 的 确 非 常 充 沛 ,2,电 力
机 背 上 的 按 钮 也 过 于 集 中 ,0,按 钮
但 是 画 面 显 得 有 些 粗 糙 ,0,画 面
色 彩 还 原 相 当 准 确 ,2,色 彩 还 原
惊 艳 的 外 观 与 轻 薄 的 设 计 ,2,外 观
暗 部 细 节 表 现 不 是 很 理 想 ,0,细 节
所 以 机 身 很 轻 薄 ,2,机 身
拍 摄 的 时 候 稳 定 性 欠 佳 ,0,稳 定 性
憨 厚 的 外 观 十 分 惹 人 喜 爱 ,2,外 观
但 是 实 用 性 却 毋 庸 置 疑 ,2,实 用 性
作 为 新 品 硬 件 不 错 ,2,硬 件
效 果 很 好 ,2,效 果
技 术 指 标 高 ,2,技 术 指 标
附 加 功 能 多 ,2,附 加 功 能
整 机 反 应 速 度 比 较 出 众 ,2,整 机 反 应 速 度
手 感 很 差 ,0,手 感
但 是 相 应 的 内 存 卡 占 用 也 很 大 ,0,内 存 卡
系 统 的 技 术 是 先 进 的 ,2,技 术
体 积 小 巧 ,2,体 积
图 象 质 量 很 好 ,2,图 象 质 量
操 控 方 便 ,2,操 控
功 能 键 布 局 总 体 合 理 ,2,功 能 键 布 局
预 设 的 模 式 多 ,2,模 式
屏 幕 很 清 楚 ,2,屏 幕
机 身 很 坚 固 可 靠 ,2,机 身
电 池 时 间 长 ,2,电 池 时 间
外 观 设 计 感 觉 没 有 专 业 ,0,外 观 设 计
实 用 性 一 点 不 差 ,2,实 用 性
较 轻 的 重 量 源 于 没 有 了 的 全 天 候 密 封 金 属 机 身 ,2,重 量
的 液 晶 屏 还 原 色 彩 真 实 ,2,色 彩
对 比 度 高 ,2,对 比 度
电 量 消 耗 比 过 去 更 少 ,2,电 量 消 耗
但 续 航 能 力 依 然 不 弱 ,2,续 航 能 力
而 且 环 的 宽 度 不 够 ,0,环 的 宽 度
操 控 不 太 方 便 ,0,操 控
手 感 不 好 ,0,手 感
但 变 焦 阻 尼 较 大 ,0,变 焦 阻 尼
的 苗 条 身 材 ,2,身 材
机 身 给 本 人 感 觉 就 是 手 感 顺 滑 ,2,手 感
背 面 的 操 控 界 面 设 计 得 简 单 明 快 ,2,操 控 界 面
秒 的 开 机 速 度 着 实 让 本 人 吃 惊 ,0,开 机 速 度
优 势 十 足 镜 头 通 光 量 充 足 ,2,镜 头 通 光 量
其 他 操 控 手 感 偏 于 生 硬 ,0,操 控 手 感
个 人 感 觉 它 的 光 圈 值 域 太 小 ,0,光 圈 值 域
只 是 操 控 起 来 略 显 繁 琐 ,0,操 控
功 能 局 限 ,0,功 能
电 耗 厉 害 ,0,电 耗
实 用 功 能 强 大 ,2,实 用 功 能
拍 得 照 片 不 错 ,2,照 片
局 部 做 得 比 较 粗 糙 ,0,局 部
保 留 了 广 角 还 是 很 吸 引 人 的 ,2,广 角
不 过 个 人 感 觉 金 属 饰 条 没 有 的 精 致 ,0,金 属 饰 条
感 觉 开 机 速 度 不 错 ,2,开 机 速 度
快 门 时 滞 在 同 类 产 品 中 也 是 很 低 的 ,2,快 门 时 滞
镜 头 焦 距 也 缩 短 了 ,0,镜 头 焦 距
菜 单 设 计 比 较 合 理 ,2,菜 单 设 计
多 元 化 的 设 置 有 更 大 的 选 择 余 地 ,2,设 置
色 彩 还 原 还 是 很 准 确 的 ,2,色 彩 还 原
颜 色 很 艳 丽 ,2,颜 色
广 角 照 片 非 常 清 晰 ,2,广 角 照 片
画 面 锐 度 好 ,2,画 面 锐 度
光 圈 不 是 很 大 ,0,光 圈
可 玩 性 相 当 高 ,2,可 玩 性
广 角 表 现 就 差 了 些 ,0,广 角
画 面 色 彩 有 些 淡 ,0,画 面 色 彩
层 次 感 也 差 了 些 ,0,层 次 感
画 面 颗 粒 感 较 重 ,0,画 面 颗 粒 感
价 格 合 理 ,2,价 格
套 头 比 要 强 多 了 ,2,套 头
电 池 强 劲 ,2,电 池
续 航 能 力 强 ,2,续 航 能 力
快 门 寿 命 大 ,2,快 门 寿 命
取 景 器 小 ,0,取 景 器
虽 然 画 质 还 不 错 ,2,画 质
反 应 速 度 极 快 ,2,反 应 速 度
因 为 功 能 较 多 ,2,功 能
尽 管 的 画 面 已 经 非 常 细 腻 了 ,2,画 面
耐 用 型 和 取 景 亮 度 稍 差 ,0,耐 用 型
机 身 小 巧 ,2,机 身
色 彩 效 果 比 较 柔 和 ,2,色 彩 效 果
液 晶 屏 幕 的 响 应 时 间 非 常 迅 速 ,2,响 应 时 间
画 面 流 畅 ,2,画 面
电 池 的 持 续 性 比 较 好 ,2,电 池 的 持 续 性
英 寸 液 晶 屏 似 乎 有 点 滞 后 ,0,液 晶 屏
富 士 的 机 器 同 等 下 效 果 确 实 比 其 他 没 做 技 术 优 化 的 竞 争 型 号 要 好 一 些 ,2,效 果
色 彩 还 原 鲜 艳 而 不 失 真 ,2,色 彩
图 像 细 节 丰 富 ,2,图 像 细 节
锐 度 强 ,2,锐 度
存 盘 速 度 都 非 常 理 想 ,2,存 盘 速 度
微 距 性 能 极 佳 ,2,微 距 性 能
相 机 右 部 的 握 柄 部 位 手 感 极 佳 ,2,手 感
场 景 模 式 过 多 ,2,场 景 模 式
上 显 示 的 拍 摄 信 息 不 够 全 面 ,0,拍 摄 信 息
电 力 不 够 强 劲 ,0,电 力
但 是 其 电 池 续 航 能 力 依 然 一 般 ,0,电 池 续 航 能 力
手 感 在 消 费 端 算 是 相 当 不 错 了 ,2,手 感
万 像 素 翻 转 清 晰 度 不 错 ,2,清 晰 度
本 人 感 觉 它 的 紫 边 抑 止 能 力 不 错 ,2,紫 边 抑 止 能 力
如 此 的 续 航 能 力 算 是 相 当 不 错 的 ,2,续 航 能 力
此 处 的 人 性 化 设 计 值 得 赞 赏 ,2,设 计
不 仅 成 像 清 晰 度 高 ,2,成 像 清 晰 度
而 且 锐 度 也 不 错 ,2,锐 度
速 度 非 常 快 ,2,速 度
的 手 动 功 能 还 是 挺 丰 富 的 ,2,手 动 功 能
虽 然 清 晰 度 不 错 ,2,清 晰 度
存 储 较 慢 不 知 道 为 什 么 用 了 卡 ,0,存 储
这 无 论 是 读 取 还 是 写 入 的 速 度 都 不 像 卡 快 啊 ,0,速 度
而 且 视 频 的 效 果 很 差 ,0,视 频 的 效 果
而 且 电 池 毕 竟 还 是 不 太 经 用 ,0,电 池
外 观 比 较 差 可 能 是 个 人 眼 光 问 题 吧 ,0,外 观
感 觉 上 总 觉 得 的 模 样 长 得 惨 了 点 ,0,模 样
感 觉 的 开 机 速 度 并 不 快 ,0,开 机 速 度
外 观 沉 稳 大 气 ,2,外 观
的 整 机 做 工 很 不 错 ,2,整 机 做 工
的 画 面 给 人 的 第 一 感 觉 就 是 鲜 艳 锐 利 ,2,画 面
佳 能 的 长 焦 端 品 质 也 不 错 ,2,长 焦 端 品 质
这 个 画 面 表 现 还 不 错 ,2,画 面
显 示 效 果 不 错 ,2,显 示 效 果
 不 [ASP][ASP] 过 [ASP][ASP] 这 [ASP][ASP] 块 [ASP][ASP] 看 [ASP][ASP] 上 [ASP][ASP] 去 [ASP][ASP] 不 [ASP][ASP] 够 [ASP][ASP] 鲜 [ASP][ASP] 艳 [ASP][ASP] ,0,
可 视 角 度 不 大 ,0,可 视 角 度
对 焦 速 度 和 存 盘 速 度 一 般 ,0,对 焦 速 度
的 内 部 降 噪 程 序 效 果 非 常 明 显 ,2,降 噪 程 序 效 果
自 由 度 稍 显 不 足 ,0,自 由 度
的 内 部 降 噪 程 序 效 果 非 常 明 显 ,2,降 噪 程 序 效 果
超 微 距 下 背 景 虚 化 效 果 较 好 ,2,背 景 虚 化 效 果
色 彩 还 原 表 现 准 确 ,2,色 彩
可 玩 性 还 是 相 当 高 的 ,2,可 玩 性
续 航 能 力 偏 弱 ,0,续 航 能 力
的 快 门 时 滞 较 短 ,2,快 门 时 滞
有 时 使 用 不 便 ,0,使 用
的 变 焦 是 最 快 的 ,2,变 焦
的 对 焦 速 度 令 人 满 意 ,2,对 焦 速 度
在 弱 光 下 的 对 焦 速 度 也 相 当 不 错 ,2,对 焦 速 度
的 功 能 是 众 多 七 百 万 像 素 机 型 中 最 丰 富 ,2,功 能
卡 价 格 较 高 ,0,价 格
的 对 焦 准 确 性 相 当 好 ,2,对 焦 准 确 性
的 噪 点 控 制 的 很 好 ,2,噪 点
整 个 画 面 非 常 干 净 ,2,画 面
的 电 池 性 能 也 只 能 算 一 般 ,0,电 池 性 能
且 较 大 ,2,且 较 大
外 观 采 用 银 色 给 人 一 种 时 尚 的 感 觉 ,2,外 观
短 片 模 式 也 比 较 吸 引 人 有 ,2,短 片 模 式
场 景 模 式 比 较 多 ,2,场 景 模 式
外 形 尺 寸 比 较 大 ,2,外 形 尺 寸
尺 寸 太 小 ,0,尺 寸
发 现 拍 摄 效 果 颜 色 略 微 偏 暖 ,0,颜 色
但 做 工 是 很 精 细 的 ,2,做 工
可 以 使 用 的 存 储 介 质 非 常 丰 富 ,2,存 储 介 质
微 距 处 理 做 的 不 错 ,2,微 距 处 理
操 作 很 方 便 ,2,操 作
倍 的 光 学 变 焦 显 得 有 些 不 足 ,0,光 学 变 焦
人 物 脸 部 色 彩 偏 暖 ,0,色 彩
曝 光 有 些 不 足 ,0,曝 光
外 型 坚 固 ,2,外 型
做 工 良 好 ,2,做 工
握 持 稳 定 ,2,握 持
画 质 优 异 ,2,画 质
锐 度 很 好 ,2,锐 度
色 彩 还 原 真 实 自 然 ,2,色 彩
锐 度 好 ,2,锐 度
电 池 性 能 不 错 ,2,电 池 性 能
操 作 方 式 过 于 繁 琐 ,0,操 作 方 式
按 键 过 多 ,0,按 键
高 时 躁 点 增 加 明 显 ,0,躁 点
等 待 照 片 写 入 存 储 卡 的 时 间 太 长 ,0,照 片 写 入 存 储 卡 的 时 间
机 身 做 工 在 同 档 次 产 品 中 比 较 出 众 ,2,机 身 做 工
整 体 成 像 表 现 一 般 ,0,整 体 成 像
大 大 的 镜 头 虽 然 在 一 边 ,2,镜 头
录 音 效 果 还 算 可 以 了 ,2,录 音 效 果
把 短 片 在 电 脑 上 播 放 时 图 像 很 清 晰 ,2,图 像
流 畅 度 表 现 相 当 好 ,2,流 畅 度
声 音 也 不 错 ,2,声 音
两 个 录 音 孔 的 效 果 我 感 觉 还 可 以 ,2,录 音 孔 的 效 果
英 寸 的 液 晶 屏 一 是 有 点 小 ,0,液 晶 屏
二 是 回 放 照 片 感 觉 效 果 一 般 ,0,效 果
拍 摄 动 态 短 片 容 量 太 大 ,0,动 态 短 片 容 量
拍 摄 的 照 片 在 室 外 光 线 好 的 条 件 下 表 现 非 常 好 ,2,拍 摄 的 照 片
取 景 比 较 方 便 ,2,取 景
开 机 速 度 还 可 以 ,2,开 机 速 度
设 计 别 致 ,2,设 计
外 观 小 巧 ,2,外 观
机 身 圆 滑 流 畅 ,2,机 身
镜 头 开 启 方 式 独 特 ,2,镜 头 开 启 方 式
电 池 使 用 时 间 长 ,2,电 池 使 用 时 间
但 是 价 格 比 较 高 ,0,价 格
传 输 速 度 过 慢 ,0,传 输 速 度
采 用 的 自 动 白 平 衡 效 果 不 佳 ,0,自 动 白 平 衡 效 果
实 际 使 用 中 在 光 线 不 足 时 拍 摄 照 片 有 时 会 出 现 色 调 不 准 的 现 象 ,0,色 调
拍 摄 出 的 照 片 发 虚 ,0,照 片
纯 黑 色 涂 层 显 得 非 常 高 贵 ,0,涂 层
机 身 整 体 设 计 合 理 ,2,设 计
操 作 手 感 好 ,2,操 作 手 感
机 身 重 量 适 中 ,2,机 身 重 量
手 柄 大 小 适 中 ,2,手 柄 大 小
微 距 成 像 能 力 虽 然 较 强 大 ,2,微 距 成 像 能 力
使 用 拍 摄 的 照 片 十 分 细 腻 ,2,照 片
的 微 距 性 能 相 当 不 错 ,2,微 距 性 能
而 且 在 微 距 状 态 下 对 焦 速 度 飞 快 ,2,对 焦 速 度
虽 然 的 机 身 很 薄 ,2,机 身
但 是 整 个 机 身 比 较 光 滑 ,2,整 个 机 身
颗 粒 感 相 当 明 显 ,0,颗 粒 感
色 彩 过 渡 也 不 尽 如 人 意 ,0,色 彩 过 渡
成 像 锐 度 不 甚 理 想 ,0,成 像 锐 度
画 面 的 整 体 感 觉 偏 软 ,0,画 面 的 整 体 感 觉
细 节 捕 捉 能 力 也 一 般 ,0,细 节 捕 捉 能 力
色 彩 不 够 通 透 ,0,色 彩
后 面 版 设 计 不 是 很 好 ,0,后 面 版 设 计
右 边 面 积 太 小 ,0,右 边 面 积
手 握 相 机 手 感 非 常 舒 服 ,2,手 感
但 其 质 量 轻 ,2,质 量
而 且 由 于 机 身 小 巧 ,2,机 身
而 且 相 机 成 像 的 质 量 也 不 错 ,2,相 机 成 像 的 质 量
菜 单 设 计 也 很 直 观 ,2,菜 单 设 计
倍 光 学 变 焦 的 镜 头 让 人 很 是 喜 欢 ,2,镜 头
手 感 非 常 好 ,2,手 感
拍 摄 功 能 比 同 档 次 的 机 器 全 面 ,2,拍 摄 功 能
设 计 出 色 ,2,设 计
键 位 合 理 ,2,键 位
电 池 续 航 能 力 强 ,2,电 池 续 航 能 力
暗 环 境 下 对 焦 犹 豫 不 决 ,0,对 焦
对 焦 速 度 也 偏 慢 ,0,对 焦 速 度
最 长 焦 端 解 像 能 力 比 较 差 ,0,长 焦 端 解 像 能 力
噪 音 控 制 得 不 好 ,0,噪 音
人 机 界 面 非 常 人 性 化 ,2,人 机 界 面
小 巧 机 身 蕴 涵 了 五 百 万 像 素 的 和 三 倍 光 学 变 焦 镜 头 ,2,机 身
机 身 重 心 设 计 不 佳 ,0,机 身 重 心 设 计
快 门 按 键 面 积 过 大 ,0,快 门 按 键 面 积
成 像 质 量 不 佳 ,0,成 像 质 量
微 距 摄 影 时 对 焦 速 度 较 慢 ,0,对 焦 速 度
视 频 拍 摄 功 能 不 够 强 大 ,0,视 频 拍 摄 功 能
预 设 的 摄 影 模 式 也 十 分 有 用 ,2,摄 影 模 式
机 器 外 形 很 漂 亮 ,2,机 器 外 形
加 工 也 很 精 致 ,2,加 工
价 格 也 不 低 ,0,价 格
机 器 的 变 焦 反 应 速 度 很 慢 ,0,变 焦 反 应 速 度
效 果 也 不 错 了 ,2,效 果
躁 点 控 制 也 不 大 好 ,0,躁 点 控 制
英 寸 屏 幕 达 到 了 今 年 的 主 流 ,2,屏 幕
机 身 做 工 十 分 精 亮 ,2,机 身 做 工
部 分 技 术 参 数 差 强 人 意 ,0,技 术 参 数
较 为 丰 富 的 功 能 以 及 全 金 属 机 身 是 其 最 大 的 两 个 特 点 ,2,功 能
前 面 板 细 腻 的 金 属 拉 丝 样 式 使 这 款 相 机 看 起 来 不 乏 典 雅 高 贵 之 气 ,2,金 属 拉 丝 样 式
但 其 控 制 景 深 的 能 力 还 是 令 本 人 满 意 的 ,2,控 制 景 深 的 能 力
况 且 其 手 感 也 不 能 令 人 完 全 满 意 ,0,手 感
超 长 的 电 池 寿 命 是 ,2,电 池 寿 命
噪 点 控 制 也 非 常 好 ,2,噪 点 控 制
机 体 小 巧 ,2,机 体
成 像 质 量 高 ,2,成 像 质 量
选 单 设 置 丰 富 ,2,选 单 设 置
近 摄 能 力 强 ,2,近 摄 能 力
到 以 及 夜 景 的 效 果 也 不 错 ,2,夜 景 的 效 果
屏 并 不 觉 得 小 ,2,屏
手 动 能 力 弱 ,0,手 动 能 力
快 门 时 滞 稍 长 ,0,快 门 时 滞
录 象 短 片 功 能 小 ,0,录 象 短 片 功 能
变 焦 操 作 也 稍 显 困 难 ,0,变 焦 操 作
的 菜 单 做 得 不 够 友 好 ,0,菜 单
但 显 示 效 果 非 同 一 般 ,0,显 示 效 果
这 个 功 能 对 于 初 级 使 用 者 来 说 相 当 实 用 ,2,功 能
景 深 虚 化 能 力 较 弱 ,0,景 深 虚 化 能 力
可 能 效 果 不 是 很 理 想 ,0,效 果
屏 幕 色 彩 过 于 艳 丽 ,0,屏 幕 色 彩
耗 电 量 比 较 大 ,0,耗 电 量
而 且 发 热 量 大 ,0,发 热 量
失 真 比 较 厉 害 ,0,失 真
噪 点 比 较 多 ,0,噪 点
噪 点 也 很 突 出 ,0,噪 点
倍 光 学 变 焦 效 果 也 很 好 ,2,光 学 变 焦 效 果
另 外 的 色 彩 还 原 我 觉 得 也 可 以 ,2,色 彩 还 原
机 身 材 质 太 次 了 ,0,机 身 材 质
手 感 好 得 多 ,2,手 感
毫 米 左 右 的 机 身 厚 度 不 算 很 薄 ,2,机 身 厚 度
毫 米 的 焦 距 也 很 标 准 ,2,焦 距
效 果 马 马 虎 虎 ,0,效 果
先 进 对 焦 系 统 也 得 到 了 保 留 ,2,对 焦 系 统
机 器 反 应 速 度 更 快 ,2,反 应 速 度
画 质 也 有 进 步 ,2,画 质
英 寸 实 在 太 落 后 了 ,0,英 寸 实 在 太 落 后 了
经 济 性 毋 庸 置 疑 ,2,经 济 性
的 画 质 已 经 提 升 了 很 多 ,2,画 质
他 的 色 彩 在 柯 美 中 尚 算 一 流 ,2,色 彩
这 款 相 机 快 门 值 域 相 当 宽 泛 ,2,快 门 值 域
照 片 的 存 储 方 式 是 这 款 相 机 的 又 一 大 特 色 ,2,照 片 的 存 储 方 式
笔 者 发 现 该 机 成 像 颗 粒 比 较 粗 糙 ,0,成 像 颗 粒
档 位 丰 富 ,2,档 位
画 质 出 众 ,2,画 质
色 彩 鲜 艳 ,2,色 彩
饱 和 度 高 ,2,饱 和 度
光 圈 性 能 出 众 ,2,光 圈 性 能
紫 边 很 不 爽 ,0,紫 边
耗 电 巨 大 ,0,耗 电
拍 室 内 流 水 及 夜 景 有 时 效 果 难 以 完 美 ,0,效 果
同 时 因 为 高 感 光 度 使 得 画 面 颗 粒 较 大 ,0,画 面 颗 粒
噪 点 还 是 略 略 多 一 些 ,0,噪 点
云 彩 以 及 一 些 颜 色 对 比 较 弱 的 物 体 对 焦 速 度 较 慢 ,0,对 焦 速 度
比 较 小 巧 的 机 身 配 合 索 尼 一 贯 的 精 良 做 工 ,2,机 身
锐 度 还 是 显 示 速 度 都 很 令 人 满 意 ,2,显 示 速 度
白 平 衡 的 调 节 方 式 较 少 ,0,白 平 衡 的 调 节 方 式
微 距 性 能 不 突 出 ,0,微 距 性 能
不 仅 取 景 屏 明 亮 ,2,取 景 屏
层 次 较 为 分 明 ,2,层 次
画 面 依 然 干 净 ,2,画 面
 过 [ASP][ASP] 于 [ASP][ASP] 艳 [ASP][ASP] 丽 [ASP][ASP] ,0,
效 果 十 分 理 想 ,2,效 果
画 面 的 整 体 色 调 稍 微 偏 暗 ,0,画 面 的 整 体 色 调
