id,sentiment,aspect,text
818,positive,ambience,The place itself is beautiful the bar scene seems to be happening.
119,positive,ambience,Check out the secret back room.
2817,positive,ambience,"It's also attached to Angel's Share, which is a cool, more romantic bar..."
556,positive,ambience,"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list."
563,negative,ambience,I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.
924,positive,ambience,With the theater 2 blocks away we had a delicious meal in a beautiful room.
3113,negative,ambience,"I was a little leary about Mary's at first - it's small, crowded and you usually have to wait on line - but I'm glad I finally tried it."
1569,positive,ambience,The characters really make for an enjoyable experience.
2280,conflict,ambience,"The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese."
1550,positive,ambience,"It's constantly open, catering to the Pakistani cabbies lined up on Crosby St., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh)."
209,positive,ambience,Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).
3297,conflict,ambience,If you don't mind all that noise then go to the Chart House.
202,conflict,ambience,"So, if yo really don't care who is sittingnext to you, which is about 2 inches away, I would say try it."
199,neutral,ambience,"Aside from the bearded, courdoroy blazer professor type with the NYU student he's sleeping with that week, you see a strange mix of hipsters, frat boys, Will Smith types who need to be told they are black, bitter cougars who cant understand why they arent married yet...."
882,positive,ambience,"While the ambiance and atmosphere were great, the food and service could have been a lot better."
3144,negative,ambience,I had to share my table with a loud group of kids and the service was rude an unattentive.
2120,positive,ambience,"We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me."
2205,negative,ambience,The food is usually good but it certainly isn't a relaxing place to go.
1940,positive,ambience,"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!"
1955,conflict,ambience,"Even though it is a little loud, you don't have to yell at each other to talk."
1887,conflict,ambience,It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.
1555,negative,ambience,"Behind this counter, two men are squeezed in."
788,conflict,ambience,The website and rating makes this place look wonderful but in reality it was very disappointing.
742,positive,ambience,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.
175,positive,ambience,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date."
614,positive,ambience,It is a lot of fun with live entertainment and all kinds of Disney type special effects.
3478,negative,ambience,Now it's so crowded and loud you can't even talk to the person next to you.
3332,negative,ambience,"However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup."
680,neutral,ambience,It's a much more grown up restaurant compared to the rest of the street.
1159,positive,ambience,"After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY."
1377,positive,ambience,"I found it on a cold night, the perfect spot to warm up."
1750,positive,ambience,Located at the end of a magnificent block.
847,positive,ambience,"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen."
1007,positive,ambience,They don't walk around with the trays of Dim Sum.
610,positive,ambience,We had a great tiem watching the shows and characters and ar food was just what we were looking for.
685,positive,ambience,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!"
2433,negative,ambience,There is also very limited seating and there can be a substantial wait in getting food at peak times.
1565,positive,ambience,Don't waste money on decor.
2959,positive,ambience,They also have a back garden open in the summer - cute and French with outdoor seating - what more could you ask for?
839,conflict,ambience,"Given the incredible architecture surrounding it, this place has no character."
3086,negative,ambience,"While the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck."
1797,positive,ambience,"It's a shame that a nice, convenient place like the Pink Pony can be so ruined by lousy service."
1727,positive,ambience,"The in-house lady DJ on Saturday nights has outrageously good taste in music, and moreover, takes requests."
232,positive,ambience,The place was quiet and delightful.
3519,positive,ambience,The prices and ambience are especially great considering it's in the West Village.
981,negative,ambience,"Nha Trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegtables."
1987,conflict,ambience,"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity."
1014,positive,ambience,The atmosphere is great!!!
674,positive,ambience,"It can be a very fun experience with a group, and kids (6 and over) would love it."
729,neutral,ambience,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down ."
1981,negative,ambience,"Filled with suits, though, so you never really feel terribly comfortable."
2851,positive,ambience,"It's like you are transported to the Italian countryside, very romantic and filled with antiques."
3605,positive,ambience,"Interesting selection, good wines, service fine, fun decor."
898,negative,ambience,But the thing that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'.
2544,negative,ambience,I don't know who they think they are but they have no respect for the residents of the neighborhood ever since they opened their cabaret next door and blasts loud music till three in the morning every weekend during the summer.
2251,positive,ambience,I was very impressed by this low-key upper eastsider and their authentically thai cuisine!!!
3205,positive,ambience,"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service."
528,positive,ambience,Warm and friendly in the winter and terrific outdoor seating in the warmer months.
82,positive,ambience,"Very romantic fires - I've literally spent hours at Lanterna, drinking wine from their extensive wine and enjoying the ambience."
3643,positive,ambience,"Always a nice crowd, but never loud."
1340,neutral,ambience,Decor is minimalist and clean - nothing to distract or commend.
2495,positive,ambience,"This place, however, has a lot less pretension than Joya and the Thai food is still above-average."
3127,negative,ambience,This place is incredibly tiny.
1904,positive,ambience,"I didn't complain, I liked the atmosphere so much."
2204,positive,ambience,"It's super-trendy and there's always someone to take that empty seat, so it seems that customer service has been deemed not of the essence."
1041,negative,ambience,The people in the restaurant were pretty obnoxious and loud.
2220,negative,ambience,I was with a party of 7 (close but not next the the front doors) and we were eating with our coats on.
518,positive,ambience,"A very inviting restaurant, with friendly service."
2595,positive,ambience,"THe back garden sitting area is very pleasant, where you can see their personal herb garden."
2852,positive,ambience,The ceiling is amazing!
2502,negative,ambience,"The space is a bit too small for live music, so on  jazz nights, it can be loud and cramped."
131,positive,ambience,Big Wong gets big Ups for a fine establishment.
3611,negative,ambience,Oh and it's too tiny for families with strollers.
2218,negative,ambience,Delicious food at a great price but do not go here on a cold day and sit by the front door.
2975,conflict,ambience,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm."
2463,positive,ambience,"THR AT MOSHPHERE IS COMPACT, MODERN, YET COZY."
1353,conflict,ambience,"Decent Thai food in cute - though a bit dank - little Nolita hangout, BUT service terrible."
3274,negative,ambience,"Most people eat there seem to be typical Upper East Side snobs, so be aware."
2221,negative,ambience,Too cold to enjoy.
743,conflict,ambience,"Inside is a little cramped, but to be expected."
1040,negative,ambience,"So, for good food i'd recommend it, but not for a fun night out."
239,conflict,ambience,"Of course, it is crowded but who cares."
3665,positive,ambience,"Chance is a small cozy restaurant, with a romantic feel to it, the decor is great."
2687,neutral,ambience,People dress in suits or evening gowns as well as shirts jeans.
2420,conflict,ambience,"The place does get crowded, so I recommend going between 4-5 PM."
2267,positive,ambience,"Good, dark atmosphere and the music is a nice touch."
4,positive,ambience,"Great for groups, great for a date, great for early brunch or a nightcap."
240,positive,ambience,Authentic Shanghai style and I cannot recommend a better Shanghai place in New York.
3239,positive,ambience,"Because we didn't have a reservation, we could only sit in the back garden, but it was great, secluded and perfect in nice weather."
1575,positive,ambience,Our family never expected such incredible entertainment in a restaurant.
2808,positive,ambience,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese."
2537,negative,ambience,"It is about FOOD and Ambiance, and imagine how dreadful it will be it we only had to listen to an idle engine."
845,positive,ambience,The dining room is quietly elegant with no music to shout over -- how refreshing!
782,positive,ambience,"Great food, great lay out and awesome service."
655,positive,ambience,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.
2850,positive,ambience,"The food was amazing, the service was so attentive and personable, and how about that ambience!"
708,positive,ambience,"This place has the best interior I have seen anywhere in the northside of W'burg, and will impress whoever you bring there."
3470,neutral,ambience,"And forget what you read under me, the atmosphere isn't that bad either."
757,negative,ambience,"It's a place for people who pay a lot for mediocre food, noise and a chance to be with their fellow bridge and tunnel folks."
1174,conflict,ambience,"Although the place could be a little more eye catching and roomier, at the same time, it doesn't really matter."
3474,negative,ambience,You can barely see who you are with never mind have a conversation.
3658,positive,ambience,"We ate out in the back patio, which is worth it as it's cool and the music is hear well there."
1840,positive,ambience,The location is perfect.
2884,conflict,ambience,"While I quite liked the food and the ambience, I'm not quite sure if it they really deserve it the Michelin rating they have displayed so prooudly in the window."
960,conflict,ambience,The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal
2477,conflict,ambience,And I say snacking because it really is not set up to be a proper dinner.
1095,positive,ambience,The quality of food at this restaurant accompanied  by fantastic live jazz makes this place a perfect 10!
768,positive,ambience,"If your visiting, you'll enjoy the ambiance and the fact that it's in Time Sq..."
524,positive,ambience,LOVE the atmosphere - felt like I was in Paris.
2412,positive,ambience,"Spice is sleek, modern and cool with a menu that will not hurt your wallet."
2647,positive,ambience,Patroon features a nice cigar bar and has great staff.
714,positive,ambience,Very affordable and excellent ambient!
3206,positive,ambience,Its a go-to for dates as well as entertaining out of town guests.
837,negative,ambience,Why do people rave about the ambience.
1779,positive,ambience,The owner and staff are all Japanese as well and that adds to the entire ambiance.
2768,conflict,ambience,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate."
811,conflict,ambience,The place was real empty but that was because this was the first Sunday they ever opened.
2239,conflict,ambience,This little place definitely exceeded my expectations and you sure get a lot of food for your money.
3493,positive,ambience,"Ambience is delightful, service impeccable."
503,positive,ambience,"Service was excellent, and the AC worked very well too (thank God, it was hot!)."
2079,positive,ambience,"The staff was accomodating, the food was absolutely delicious and the place is lovely."
1281,positive,ambience,Great atmoshere and worth every bit.
94,positive,ambience,"Excellent atmosphere, delicious dishes good and friendly service."
1015,positive,ambience,A cool place to hang with your friends for a couple of healthy drinks and desserts.
1901,positive,ambience,"Great vibe, lots of people."
2771,negative,ambience,"Either that, or the editor's idea of romance must be sharing a conversation with the next table, while trying to speak louder than the traffic on 57th."
58,positive,ambience,"A cool bar with great food, and tons of excellent beer."
869,positive,ambience,The ambience is authentic and relaxing and we have always received attentive and prompt service.
2443,positive,ambience,"Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom."
3064,positive,ambience,Romantic if you want it to be (brightly lit).
828,positive,ambience,"Even though I made the reservation at 3pm for the same night through Dinnerbroker, we were seated at a table with one of the best view!"
2219,negative,ambience,The red sliding doors may be unique but they do not block off the cold air from the outside.
2247,positive,ambience,In summer-eat outside on a terrace (another great feature of Suan)!!!
2458,positive,ambience,"It's the perfect restaurant for NY life style, it got cool design, awsome drinks and food and lot's of good looking people eating and hanging at the pink bar..."
1842,conflict,ambience,"To dine at Thalia can be slightly deceiving because while its beautiful on the outside, its so bland on the inside."
1916,positive,ambience,"It's charmingly small and that leads to an atmoshere that is extremely cozy and romantic, even."
2508,positive,ambience,Love the Jazz bands on Fri and Sat.
3156,negative,ambience,"Don't expect to sit down inside though, there are only a few tables and they are always full."
1947,positive,ambience,"The staff is accomodating, the ambiance is exciting and yet relaxed, and the food is out of this world!"
2878,positive,ambience,"This place is cool enough to be in the East Village, but French enough to make you feel like you could be in a bistro in a back alley in Paris."
52,positive,ambience,"No dress codes, no attitudes, plenty of comfort companionship, a great place to relax in an always busy Midtown."
2136,positive,ambience,"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater."
1039,negative,ambience,"The decor is really blah, and not at all hip or happening."
3138,positive,ambience,"Having discovered Ping's on the internet, we entered with qualms but were instantly put to ease by the fish tanks that greet you as u walk in."
2677,negative,ambience,"Just don't take the seat between the bar and the back half of the restaurant, i saw a woman get nudged 40times sitting there."
1379,positive,ambience,"To me it exemplifies Soho, cute, artsy, interesting."
2408,negative,ambience,"at night, but it's hard to hear your own conversation with everyone else competing for that same luxury - the music playing in the background is also voluminous."
2348,positive,ambience,"We made early dinner reservations and were thoroughly impressed, reminds me of my grandfather, its old school Italian scenery with lots of fun stuff to admire."
921,positive,ambience,The place was nice and calm.
3513,negative,ambience,"The service was poor, restaurant poorly lit, staff not very attentive and I would have rather eaten at a Mcdonald's than this joint."
3299,neutral,ambience,"For myself and family we would only go here to celebrate an occassion, I do prefer smaller, quiter restaurants."
2192,positive,ambience,"My GF and I still choose to eat there a lot because of diverse cocktails, the chill decor, and the decent sushi."
3052,neutral,ambience,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro."
481,neutral,ambience,There is a real gallery of stars that have visited.
2827,negative,ambience,"The food was below average, the service was pathetic, there was no ambience at all."
1585,positive,ambience,I REALLY ENJOYED THE SHOWS PUT ON BY THE ACTORS.
426,positive,ambience,"Toons has recently been redone, so it's now a very attractive space."
3185,positive,ambience,"Its a nice quiet location to go eat a good meal, relax, be able to talk and have a very good time."
718,positive,ambience,"However, I think this place is a good hang out spot."
876,negative,ambience,"When we left at 8:00 PM, it was packed and noisy."
2067,positive,ambience,Decor is nice though service can be spotty.
59,conflict,ambience,And even with it's Pub atmosphere they were great to my kids too!
609,positive,ambience,Really cool stauff inside.
3417,positive,ambience,"While the new restaurant still features much of the same classical furniture that made Tiffin so attractive, the menu has been overhauled."
3026,positive,ambience,"The blond wood decor is very soothing, the premium sake is excellent and the service is great."
1218,negative,ambience,"Of course this atmosphere is lacking, but what do you expect from a 24 hour bagel place anyways?"
2676,positive,ambience,Cornelia Street looks like a Broadway set for West Side Story and the inside of Po is so cool quaint you really can't top the setting for a romantic dinner in NYC.
1965,negative,ambience,"Like others have said, don't expect the restaurant to make a nite out romantic for you and yes, a busy restaurant may require you to wait."
3317,positive,ambience,Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went.
594,conflict,ambience,"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying."
262,positive,ambience,It's a small cute restaurant.
2871,positive,ambience,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere."
3648,negative,ambience,Restaurant was dirty and unkempt.
1648,conflict,ambience,It is a small restuarant so go early and it will be nice and quiet- go late and it will be packed!
3053,neutral,ambience,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair."
2671,conflict,ambience,"Great roofdeck, nice group of 30 somethings, but no music, kind of quiet."
2415,positive,ambience,"You get what you pay for and with that logic in mind, Spice is a great place to grab some cheap eats and drinks in a beautiful setting."
1713,conflict,ambience,"Other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!"
1323,positive,ambience,The music is the best among all the Indian restaurants I have visited.
584,positive,ambience,Rao's has the best service and atmosphere in NYC.
2089,positive,ambience,"Excellent dumplings served amid clean, chic decor."
2364,positive,ambience,"Cute place, nice wait staff but would never go there again."
1372,negative,ambience,Service was also horrible and the ambience is not that great.
929,positive,ambience,"Everything is excellent, the menu is quite extensive, and you eat with a view on both sides of the city."
3220,negative,ambience,Here's to the fake fish tanks too...
2718,positive,ambience,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad."
2063,positive,ambience,we decided to eat in tea room which was small and cute.
2104,positive,ambience,"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative."
693,positive,ambience,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated."
3314,positive,ambience,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.
2922,negative,ambience,Prices too high for this cramped and unappealing resturant.
1357,positive,ambience,Total hipster-wannabe attitude in an otherwise sweet spot.
2190,positive,ambience,Downstairs lounge is always a good attraction
1096,positive,ambience,This is definitely an  excellent date spot because of the ambiance and on the weekends the  night scene is more than alive.
1591,positive,ambience,I loved everythig about it-especially the shows and actors.
2923,negative,ambience,Zero ambiance to boot.
854,negative,ambience,Got a little loud after 8pm when the joint got full.
1844,positive,ambience,"Everything looks great, the drinks, the decor, the food, even the people."
2958,conflict,ambience,"It is sometimes a little cramped, and can get a little warm, but hello, it's NYC!"
2254,positive,ambience,"Good crowd, good outdoor seating, with a hip japanese vibe."
2411,positive,ambience,"However, their popularity has yet to slow down, and I still find myself drawn to their ambiance and delectable reputation."
3139,positive,ambience,"Where tanks in other Chinatown restaurants display a lurking myriad of sad-looking marine life in their murky waters, the tanks at Ping's are clear as glass with healthy-looking creatures who do not yet know that they will be part of some dim sum lover's brunch."
1002,positive,ambience,"The view is spectacular, and the food is great."
1181,conflict,ambience,"The place wasn't too hard to find, but it was kind of packed, as soon as my boyfriend and I got our food, the line reached the door."
834,negative,ambience,A bit breezy up there on the mezzanine from the wind coming from the tracks.
1583,positive,ambience,I LOVED THE SHOWS.
838,negative,ambience,The aesthetics of this place are like an airport lounge.
1469,positive,ambience,The pizza is yummy and I like the atmoshpere.
3056,positive,ambience,"However, go for the ambience, and consider the food just a companion for a trip across the world!"
1871,negative,ambience,I think the restaurant was too loud (when full) to be romantic.
657,conflict,ambience,"Always popular, always full, always a wait."
575,conflict,ambience,A little noise but I think that was because of our party!
2833,positive,ambience,"I can't wait for summer, when they serve outside on their gigantic patio."
1318,negative,ambience,"It cannot be the ambience, because the place is very cramped and some guests have to sit in an aisle."
2737,positive,ambience,"The service is excellent, the decor is great, and the food is delicious and comes in large portions."
467,positive,ambience,A word to the wise - the Hoboken health inspector clued me to his findings that this is THE cleanest restaurant in town.
1206,negative,ambience,The place is small and cramped but the food is fantastic.
1070,negative,ambience,A little crowded but they move that line really fast!
621,positive,ambience,The entertainment was great they have shows that go on through out the dinner.
589,neutral,ambience,"It's true, you feel like your in a scene from Goodfellas."
3544,positive,ambience,The ambience is very romantic and definitely a good place to bring a date.
3688,conflict,ambience,"It is far more popular as a bar than as a restaurant, with only a few tables and the waiter being the bartender, but we greatly enjoyed the unobtrusive atmosphere."
1064,positive,ambience,"Very neighborhoody, very quick and sufficient."
1982,negative,ambience,And I could do without the cigar smoke.
3268,positive,ambience,The ambience is very calm and quiet.
1894,positive,ambience,The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.
204,conflict,ambience,"Though you will undoubtedly be seated at a table with what seems like barely enough room (no matter what the size of your party), the warm atomosphere is worth the cramped quarters- you'll have fun and forgot about the tight spot you're in."
690,negative,ambience,For those prices and the dressed up atmosphere you expect more and should get more.
601,positive,ambience,We went to eat at the Jekyll and Hyde restaurant on Friday night and really enjoyed the fun atmosphere and good food.
2336,negative,ambience,Ambiance is barely romantic but management tries.
1385,positive,ambience,"Service is extraordinary, yet not overbearing, and the decor brings a taste of trendy SoHo into Queens."
3481,negative,ambience,If I wanted to deal with a crappy scene and annoying customers I'd go out in Manhattan.
1157,positive,ambience,Right off the major deegan you get ladies from all over the city.
61,positive,ambience,"This is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!"
843,positive,ambience,A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.
1151,negative,ambience,"Well, this place is so Ghetto its not even funny."
3076,positive,ambience,Cute and decorative.
2269,negative,ambience,"I know this is the case in many nyc eateries, but here, they really cram you in to the point where it's borderline uncomfortable."
2228,positive,ambience,"Sure, the setting is nice."
1160,positive,ambience,Some of the finest latin women you'll see in your life hang out at Jimmy's.
1954,positive,ambience,I do suggest to ask to be seated upstairs if you are looking to be a little cozy.
3091,negative,ambience,"The puke green walls leave a lot to be desired, but the food is very good."
1082,positive,ambience,"So, the menu is written in chalk above your head and it all sounds delicious."
3257,positive,ambience,There is not a single place in Chinatown where you have a nice neighborhood feeling like here.
2897,positive,ambience,"While Sapphire is certainly not lacking in ambiance, and probably has the best decor of any Indian restaurant I have been to in New York City, the food was not what I had hoped for."
872,positive,ambience,I would highly recommend this place to anyone looking for a casual atmosphere that whisks you away to the left bank of the river Seine.
3507,positive,ambience,"His wife Tanya, the hostess, completes the comforting atmosphere by being delightfully warm and gracious."
1724,positive,ambience,"But the best part about LS is the late night atmosphere, delightfully free of the BTs."
1031,positive,ambience,"You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place."
1465,conflict,ambience,"though the service could be better (possibly due to more than one very large group in the house), it is very cordial and warm, as is the general clientele."
2927,positive,ambience,"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse."
1544,positive,ambience,This is a cute place and could be good but they need to get their act together.
2404,positive,ambience,"The place is sleek, modern and playfull and i will return again frequently."
3438,positive,ambience,The service is good and ambience is good for a date or group outing.
43,neutral,ambience,ALWAYS full with tourists (especially because of it's close proximity to Rockefeller Center).
1460,conflict,ambience,"The decor is nice, but more casual than fine dining."
989,positive,ambience,The service is fine and they allow you to enjoy the view.
2993,positive,ambience,delicious simple food in nice outdoor atmosphere.
101,positive,ambience,i love the pics of andy warhol when he used to frequent the place (he painted the ballato's sign in the window).
3412,positive,ambience,This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.
1394,positive,ambience,The atmosphere is much better than Sripraphai (more modern and sleek).
